iteration,rqng_energy,adam_energy
0,0.2860,0.2860
1,-0.1240,-0.0120
2,-0.6540,-0.2450
3,-1.2410,-0.5120
4,-1.8920,-0.7840
5,-2.3410,-1.0210
6,-2.6850,-1.2840
7,-2.9120,-1.5120
8,-3.0840,-1.7410
9,-3.2140,-1.9320
10,-3.3150,-2.1120
11,-3.3890,-2.2640
12,-3.4420,-2.4010
13,-3.4810,-2.5210
14,-3.5080,-2.6320
15,-3.5260,-2.7240
16,-3.5380,-2.8120
17,-3.5460,-2.8910
18,-3.5510,-2.9620
19,-3.5535,-3.0240
20,-3.5548,-3.0810
21,-3.5555,-3.1320
22,-3.5559,-3.1780
23,-3.5561,-3.2190
24,-3.5562,-3.2560
25,-3.5563,-3.2890
26,-3.5563,-3.3180
27,-3.5564,-3.3440
28,-3.5564,-3.3670
29,-3.5564,-3.3880
30,-3.5564,-3.4060
31,-3.5564,-3.4220
32,-3.5564,-3.4360
33,-3.5564,-3.4490
34,-3.5564,-3.4600
35,-3.5564,-3.4700
36,-3.5564,-3.4790
37,-3.5564,-3.4870
38,-3.5564,-3.4940
39,-3.5564,-3.5000
40,-3.5564,-3.5060
41,-3.5564,-3.5110
42,-3.5564,-3.5150
43,-3.5564,-3.5190
44,-3.5564,-3.5230
45,-3.5564,-3.5260
46,-3.5564,-3.5290
47,-3.5564,-3.5310
48,-3.5564,-3.5330
49,-3.5564,-3.5350
50,-3.5564,-3.5463
